,matched_merk,matched_handelsbenaming,symptoom,count_sleuteltijd_incident_merk,average_sleuteltijd_incident_merk,suggestie
0,FIAT,PUNTO,Start niet,6893.0,21.512839112142753,23.799228048906667
1,FIAT,PUNTO,Accu,8823.0,19.28119687181231,21.36180005076289
5,OUD,OUD,Accu,22680.0,20.275352733686066,22.56427539260964
7,KIA,PICANTO,Accu,8373.0,16.423862414905052,18.240178451523523
8,FORD,FOCUS C-MAX,Stottert / verliest vermogen,5497.0,26.329634346006912,28.674367395359873
9,FORD,FOCUS C-MAX,Accu,20885.0,19.139478094326073,21.2840721022828
10,FORD,FOCUS C-MAX,Controlelampjes / dashboardmeldingen,2820.0,23.39113475177305,25.56162155260163
11,FORD,FOCUS C-MAX,Sloten,1118.0,17.32021466905188,19.38792604229636
12,FORD,FOCUS C-MAX,Lekke band,9392.0,16.912372231686543,18.37389793440408
13,VOLVO,V40,Controlelampjes / dashboardmeldingen,544.0,23.56985294117647,25.797572697885027
14,VOLVO,V40,Start niet,4431.0,19.637553599638906,21.768581923106893
16,VOLVO,V40,Remmen,389.0,22.55784061696658,24.806989277890814
18,VOLVO,V40,Stottert / verliest vermogen,1246.0,26.136436597110755,28.47343654985559
19,RENAULT,MÉGANE,Stottert / verliest vermogen,5446.0,26.87495409474844,29.233518446334465
20,VOLKSWAGEN,TOURAN,Start niet,2733.0,20.269667032564946,22.556554006198088
22,KIA,PICANTO,Start niet,4691.0,18.373054785759965,20.414327538095282
28,OPEL,ASTRA,Koelprobleem,2785.0,27.68761220825853,30.204627936956253
30,HYUNDAI,I10,Lekke band - geen reserve,1728.0,19.20428240740741,21.085307948351943
33,TOYOTA,AURIS,Verlichting,659.0,18.561456752655538,20.710325781739265
35,TOYOTA,AURIS,Lekke band - geen reserve,4882.0,21.517001229004507,23.567139240869082
39,TOYOTA,AURIS,Start niet,3345.0,17.797907324364722,19.789895326156742
41,TOYOTA,AURIS,Accu,5053.0,16.568573124876313,18.408773331277448
59,VOLKSWAGEN,POLO,Afgeslagen tijdens rijden,5711.0,25.025389599019437,27.555335974562436
60,TOYOTA,AURIS,Anders,290.0,20.579310344827586,22.84447852292708
66,SEAT,IBIZA,Start niet,10251.0,20.518095795532144,22.71974974914982
67,SEAT,IBIZA,Lekke band - geen reserve,5973.0,20.61510128913444,22.59654389771725
68,SEAT,IBIZA,Stottert / verliest vermogen,7303.0,25.538682733123373,27.797305502485422
